Tonnes sorted for recovery1 (tonnes),Total CO2 eq (kg),Total CO2 eq (tonnes),Equivalent trees planted required for carbon absorption,Equivalent cars off the road for a year,"Distance driven in family vehicle 
(km)",Click here to view the Kerbside Life Cycle Assessment Calculator on the Sustainability Victoria website,,
   Aluminium Cans,"  4,119 ","  119,451 ",119,"  49,775 ","  1,342,151 ",  48 ,,,
   Packaging Steel (steel cans),"  11,498 ","  482,916 ",483,"  201,231 ","  5,426,044 ",  193 ,,,
,,,,,,,,,
   Paper / Cardboard,,,,,,,,,
   Cardboard / paper packaging (including liquid paperboard),"  44,271 ","  486,981 ",487,"  202,925 ","  5,471,719 ",  195 ,,,
   Printing & Writing Paper,  245 ,"  2,695 ",3,"  1,123 ","  30,281 ",  1 ,,,
   Other (mixed paper),"  225,277 ","  2,478,047 ",2478,"  1,032,602 ","  27,843,336 ",  991 ,,,
,,,,,,,,,
   Organics,,,,,,,,,
   Garden Organics,"  568,500 ","  3,240,450 ",3240,"  1,350,296 ","  36,409,696 ","  1,296 ",,,
,,,,,,,,,
   Glass,,,,,,,,,
   Glass Containers,"  156,683 ","  147,282 ",147,"  61,372 ","  1,654,861 ",  59 ,,,
,,,,,,,,,
   Plastics,,,,,,,,,
   PET,"  18,066 ","  1,246,554 ",1247,"  519,439 ","  14,006,281 ",  499 ,,,
   HDPE (average) (milk bottles),"  21,916 ","  494,675 ",495,"  206,131 ","  5,558,173 ",  198 ,,,
,,,,,,,,,
   Total,"  1,050,575 ","  8,699,051 ","  8,699 ","  3,624,895 ","  97,742,542 ","  3,480 ",,,
1Tonnes sorted for recovery refers to the total tonnes collected less contamination.,,,,,,,,,
,,,,,,,,,
"Waste and recycling in Victoria - Local government waste services workbook 2019–20 © Sustainability Victoria 2021

While reasonable efforts have been made to ensure that the contents of this publication are factually correct, Sustainability Victoria gives no warranty regarding its accuracy, completeness, currency or suitability for any particular purpose and to the extent permitted by law, does not accept any liability for loss or damages incurred as a result of reliance placed upon the content of this publication. This publication is provided on the basis that all persons accessing it undertake responsibility for assessing the relevance and accuracy of its content.

The Waste and recycling in Victoria - Local government waste services workbook 2019–20 should be attributed to Sustainability Victoria.

Waste and recycling in Victoria - Local government waste services workbook 2019–20 (excluding Sustainability Victoria logo) is licensed under a Creative Commons Attribution 3.0 Australia licence. In essence, you are free to copy, distribute and adapt the work, as long as you attribute the work and abide by the other licence terms. To view a copy of this licence, visit: http://creativecommons.org/licenses/by/3.0/au/",,,,,,,,,
